	ON	OTU	Kingdom	Supergroup	Phylum	Class	Order	Family	Genus	Species
41	42	Otu00042	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Prasiolales	Prasiolales	Elliptochloris	Elliptochloris_bilobata
42	81	Otu00081	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Prasiolales	Prasiolales	Elliptochloris	Elliptochloris_reniformis
43	114	Otu00114	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Prasiolales	Prasiolales	Elliptochloris	Elliptochloris_subsphaerica
44	139	Otu00139	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Prasiolales	Prasiolales	Elliptochloris	Elliptochloris_subsphaerica
45	208	Otu00208	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Prasiolales	Prasiolales	Elliptochloris	Elliptochloris_marina
46	245	Otu00245	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Prasiolales	Prasiolales	Elliptochloris	Elliptochloris_sp
47	260	Otu00260	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Prasiolales	Prasiolales	Elliptochloris	Elliptochloris_marina
48	64	Otu00064	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Prasiolales	Prasiolaceae	Prasiola	Prasiola_crispa
49	12	Otu00012	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Prasiolales	Prasiolales	Prasiolales	Unk_Prasiolales
50	25	Otu00025	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Prasiolales	Prasiolales	Prasiolales	Unk_Prasiolales
51	119	Otu00119	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Prasiolales	Prasiolales	Prasiolales	Unk_Prasiolales
52	293	Otu00293	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Prasiolales	Prasiolales	Prasiolales	Unk_Prasiolales
53	330	Otu00330	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Prasiolales	Prasiolales	Prasiolales	Unk_Prasiolales
54	373	Otu00373	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Prasiolales	Prasiolales	Prasiolales	Unk_Prasiolales
55	402	Otu00402	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Prasiolales	Prasiolales	Prasiolales	Unk_Prasiolales
56	75	Otu00075	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Chlorellales	Chlorellaceae	Pseudochlorella	Pseudochlorella_pringsheimii
57	104	Otu00104	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Chlorellales	Chlorellaceae	Pseudochlorella	Pseudochlorella_pringsheimii
58	178	Otu00178	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Chlorellales	Chlorellaceae	Pseudochlorella	Pseudochlorella_pringsheimii
59	286	Otu00286	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Chlorellales	Chlorellaceae	Pseudochlorella	Pseudochlorella_pringsheimii
60	426	Otu00426	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Chlorellales	Chlorellaceae	Pseudochlorella	Pseudochlorella_pringsheimii
61	99	Otu00099	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Prasiolales	Stichococcaceae	Pseudostichococcus	Pseudostichococcus_monallantoides
62	112	Otu00112	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Prasiolales	Stichococcaceae	Pseudostichococcus	Pseudostichococcus_monallantoides
